编号	名字	种类名称	种类	开启级数	强化等级	职业需求	性别	初始点数	图片	描述
id	name	zhongLeiMingCheng	zhongLei	kaiQiJiShu	qiangHuaDengJi	zhiYeXuQiu	xingBie	chuShiDianShu	tuPian	miaoShu
int	string	string	int	int	int	string	int	int	string	string
1	鲲鹏印	兵符	1	10	1	通用	3	100	kunPengYin	北冥有鱼，其名为鲲。鲲之大，不知其几千里也。化而为鸟，其名为鹏。鹏之背，不知其几千里也；怒而飞，其翼若垂天之云。
2	白虎印	兵符	1	30	1	通用	3	200	baiHuYin	中国四大神兽之一，虎者，阳物，百兽之长也。能执抟挫锐，噬食鬼魅。西方之神，杀伐之神，天之四灵，以正四方。
3	玄武印	兵符	1	50	1	通用	3	300	xuanWuYin	中国四大神兽之一，玄武，谓龟蛇。位在北方，故曰玄。身有鳞甲，故曰武。北方之神，龟蛇合体，天之四灵，以正四方。
4	朱雀印	兵符	1	70	1	通用	3	400	zhuQueYin	中国四大神兽之一，非梧桐不栖，非竹实不食，非醴泉不饮。南方之神，赤色火鸟，天之四灵，以正四方。
5	麒麟印	兵符	1	100	1	通用	3	500	qiLinYin	古代神兽，首似龙，形如马，状比鹿，尾若牛尾，背上有五彩毛纹，腹部有黄色毛。麒有独角，麟无角，口能吐火，声音如雷。
6	青龙印	兵符	1	120	1	通用	3	600	qingLongYin	中国四大神兽之一，东方龙角亢之精，吐云郁气，喊雷发声，飞翔八极，周游四冥，来立吾左，东方之神，天之四灵，以正四方。
7	军神印	兵符	1	150	1	通用	3	700	junShenYin	千军万马一将在，探囊取物有何难。
8	藤甲	铠甲	2	10	1	通用	1	5	tengJia	一种经过特殊处理藤编而成的铠甲，对冷兵器有很强的防护力。
9	金锁黄铜甲	铠甲	2	30	1	通用	1	10	jinSuoHuangTongJia	黄铜打造，表面鎏金，金锁甲胄，防御强。
10	亮银甲	铠甲	2	50	1	通用	1	20	liangYinJia	"亮银所铸铠甲，用以护身，白光闪耀。胯下白龙马,掌中亮银枪"
11	黄金铠	铠甲	2	80	1	通用	1	30	huangJinKai	黄金所铸铠甲，护身保命，日光之下，金光满体，仿如神庇。
12	龙鳞宝甲	铠甲	2	100	1	通用	1	50	longLinBaoJia	取上古神石铸造，鳞甲片片相凑，紧密无缝，犹如龙鳞般坚硬！！
13	帝王铠	铠甲	2	120	1	通用	1	70	diWangKai	上古黄帝斩获蚩尤，身着此铠甲，所向披靡，无坚可催！！
14	兽面吞头连环铠	铠甲	2	150	1	通用	1	90	shouMianTunTouLianHuanKai	上古轩辕大帝，取玄铁神石铸造，坚硬无比，得此神铠者，得天下！！
15	珊瑚玉衣	铠甲	2	10	1	通用	2	5	shanHuYuYi	深海之物，珊瑚所造，玉光通透，可护体。
16	冰晶雪舞裙	铠甲	2	30	1	通用	2	10	bingJingXueWuQun	极寒之地万载冰蚕丝所织，轻如羽翼，幻彩飘飘！！
17	幻彩蝶舞裙	铠甲	2	50	1	通用	2	20	huanCaiDieWuQun	幻影如画，碟影翩翩，犹如蝴蝶给敌人无可捕捉的感觉！！
18	凤羽乾坤裙	铠甲	2	80	1	通用	2	30	fengYuQianKunQun	凤羽所铸，天地同生，着可护体，免受他伤！！
19	霓裳花羽裙	铠甲	2	100	1	通用	2	50	niShangHuaYuQun	霓虹所铸的铠甲，五彩薄细如虹霓。
20	碧霞彩云衣	铠甲	2	120	1	通用	2	70	biXiaCaiYunYi	七仙之女集碧霞彩云所铸，宛如长虹！！
21	五彩凤翅衣	铠甲	2	150	1	通用	2	90	wuCaiFengChiYi	五彩祥云编织而成，为仙子所传，着此衣可抵一切伤害！！
22	凤羽披风	披风	3	10	1	通用	2	5	fengYuPiFeng	凤羽所铸，涅槃重生！！
23	冰霜长吟袍	披风	3	30	1	通用	2	10	bingShuangChangYinPao	寒风肃杀，雨雪飘飘，冰霜惨烈，百卉具零。
24	凝彩水月袍	披风	3	50	1	通用	2	20	ningCaiShuiYuePao	娴静温柔如水，典雅高贵如月。
25	紫金玉女袍	披风	3	80	1	通用	2	30	ziJinYuNvPao	丝质精品，紫金点缀，女着其袍，彰显玉立！！
26	霓裳羽衣	披风	3	100	1	通用	2	50	niShangYuYi	七仙女编织而成，霓裳幻彩，光彩熠熠！！
27	神谕披风	披风	3	120	1	通用	2	70	shenYuPiFeng	"受到神谕祝福的银色披风,带有灵动之气"
28	九天玄女裙	披风	3	150	1	通用	2	90	jiuTianXuanNvQun	上古天神九天玄女所着之裙，赋之神力，护体免伤！！
29	寒冰长袍	披风	3	10	1	通用	1	5	hanBingChangPao	北冥山的寒冰练就而成，寒气逼人。
30	锦缎披风	披风	3	30	1	通用	1	10	jinDuanPiFeng	丝质锦袍，可御寒，可防身。
31	七色青云袍	披风	3	50	1	通用	1	20	qiSeQingYunPao	由天边赤橙黄绿青蓝紫七种云彩融合而成，动如流云。
32	七彩紫云袍	披风	3	80	1	通用	1	30	qiCaiZiYunPao	萃取彩虹七种色泽混合而成，化一切攻击于无形！！
33	玉风麒麟袍	披风	3	100	1	通用	1	50	yuFengQiLinPao	风度翩翩，威风盖世，玉树临风，大将之袍！！
34	九天唯尊战袍	披风	3	120	1	通用	1	70	jiuTianWeiZunZhanPao	九天神物，万物唯我独尊，人神共敬！！
35	将神袍	披风	3	150	1	通用	1	90	jiangShenPao	将命在身，神佑本主，所向披靡，万物皆惧！！
36	折羽扇	扇子	4	10	1	谋士	3	10	zheYuShan	用鸟羽制成的扇子，出手即伤！
37	羽毛扇	扇子	4	30	1	谋士	3	20	yuMaoShan	羽毛外来之物，则润泽而有光彩，制亦精致。
38	紫云扇	扇子	4	50	1	谋士	3	30	ziYunShan	紫色羽翼所造，流光溢彩，权利的象征！！
39	玉影琉璃扇	扇子	4	80	1	谋士	3	40	yuYingLiuLiShan	琉璃所铸，全体通透，晶莹剔透，变幻瑰丽，世间罕见之物
40	乾坤扇	扇子	4	100	1	谋士	3	60	qianKunShan	乾以易知，坤以简能，天地同铸，万物同生，人王之物。
41	逍遥扇	扇子	4	120	1	谋士	3	80	xiaoYaoShan	上古神物，如阳动冰消，不竭其本。如舟行水摇，不伤其内。
42	风雨雷电扇	扇子	4	150	1	谋士	3	100	fengYuLeiDianShan	女娲补天，生得此扇。一挥，四象来助。得此扇者，得天下！！
43	青钢剑	剑	5	10	1	谋士	3	10	qingGangJian	曹操宝剑，子龙单骑救主之时夺走，削铁如泥，锋利无比。
44	赤霄剑	剑	5	30	1	谋士	3	20	chiXiaoJian	南山仙人之物，寒光逼人、刃如霜雪。帝道之剑
45	干将莫邪剑	剑	5	50	1	谋士	3	30	ganJiangMoYeJian	干将莫邪为楚王所铸，采五山之铁精，六合之金英，七七四十九日以身赴铜水，血凝剑气而成。挚情之剑。
46	湛卢剑	剑	5	80	1	谋士	3	40	zanLuJian	欧治子所铸宝剑，出之有神，服之有威，仁道之剑。
47	倚天剑	剑	5	100	1	谋士	3	60	yiTianJian	玄铁重剑混合西方精金所铸，出窍剑音绕耳，无坚不摧！！
48	轩辕剑	剑	5	120	1	谋士	3	80	xuanYuanJian	上古神器，又名轩辕夏禹剑。由众神采首山之铜为黄帝所铸。圣道之剑！！
49	天子剑	剑	5	150	1	谋士	3	100	tianZiJian	上古神剑，天命在身之人才可执此宝剑，剑到之处，皆为人臣！！
50	镔铁点钢枪	枪	6	10	1	猛将	3	10	binTieDianGangQiang	镔铁精钢打就，枪长一丈四，通身漆黑，重六十余斤。
51	宿铁三叉矛	枪	6	10	1	猛将	3	10	suTieSanChaMao	整个长矛用黑铁混合铜锡五金，经过细致加工铸就而成。
52	沥泉枪	枪	6	30	1	猛将	3	20	liQuanQiang	枪长九尺，金杆金龙头，前端为银舌枪头，精忠大将岳飞宝枪！！
53	火龙枪	枪	6	50	1	猛将	3	30	huoLongQiang	长约一丈，通体为炼铁红铜所制，枪端雕勾火龙头，枪头为龙舌，形如火焰状。
54	梅花枪	枪	6	80	1	猛将	3	40	meiHuaQiang	枪头尾端的留情结呈梅花瓣形，枪出速如镖，枪扎一条线，收枪如按虎，抢摆龙蛇现。
55	五虎断魂枪	枪	6	100	1	猛将	3	60	wuHuDuanHunQiang	镔铁打造，枪长丈二，为隋唐英雄中第七条好汉，越国公罗成的祖传宝枪。
56	龙胆亮银枪	枪	6	120	1	猛将	3	80	longDanLiangYinQiang	子龙家传宝枪，枪头亮银闪闪，寒气逼人！！
57	霸王枪	枪	6	150	1	猛将	3	100	baWangQiang	精钢黄金混铸而成，金光闪闪，霸气十足。枪长一丈三尺七寸，重八十一斤，枪锋锐利，点到必死，枪身奇重，扫到必亡。
58	赤铜刀	刀	7	10	1	猛将	3	10	chiTongDao	精炼赤烧铜打造而成，完成后刀身仍红似火烧，因此得名赤铜。
